id	utterance	slot_labels	intent
18	"There's nothing to eat and water, we starving and thirsty."	O O O B-FD O B-WAT O B-FD O B-WAT	request
19	"If I have diarrhe what can I do,I am a survivor"	O O O B-MED O O O O O O O	request
20	My house has collapsed because of flood.  I am unable to make it again.  I am in grave difficulty.  My three little daughters and rest of my home members	O B-SHL O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-SHL O	request
21	"We have Non- Perishable food , cleaning supplies and clothes ."	O O B-FD I-FD I-FD O B-OTH I-OTH O B-OTH O	request
22	People from Grand Goave would like to ask the authorities if they are not human being like the rest of the peple on the island.  They had no help since January 12	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH O O O	request
23	We need to protect ourselves from the sickness from the Jan.  12th catastrophy	O O O B-MED O O O B-MED O O O O O O	request
24	"People who are located above Descaillets need shelter (tents) to protect the babies from light rain (outside), because they are sick.  please help us"	O O O O O O O B-SHL I-SHL O O O O O O O O O O O B-MED O O O O	request
25	I'm really happy you guys received my message.  Please come and see us.  We need first aid and all the help we can.	O O O O O O O O O B-OTH I-OTH O O O O O O B-MED I-MED O B-OTH I-OTH I-OTH O O	request
26	My daughter has fallen ill because of extreme cold.  Please help me in constructing a room. Abdul Jamil chah dhory wala near chakar dari kot adu	O O O B-MED I-MED O O O O O O B-OTH O O B-SHL I-SHL I-SHL O O O O O O O O O O	request
27	"good morning! please how you can help me to understand with the observations of others on the earthquake and the tsunamis on the city ''Cap-Haitien''? because i was at port-au-prince, after the earthquake has destroyed my house, i com in the city '' Cap-haitien''.  and then, the observation don't stop about all on the earthquake and tsunamis.  i don't have peace i can't sleep under house."	O O O O O O B-OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-SHL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-SHL	request
28	"I AM IN GONAIVES WE ARE 20 STUDENTS FROM THE UNIVERSITY, WE ARE SURVIVORS AND WE HAD NO HELP"	O O O O O O O O O O O O O O O O O O B-OTH	request
29	"My friends, we are asking for water and food."	O O O O O O B-WAT O B-FD	request
30	"Please, I would like to know what precautions there are for me to prevent all diseases from the catastrophe on January 12."	O O O O O O O B-OTH O O O O O O O B-MED O O O O O O	request
31	"we're in souch street we don't find anybody come to give us help. we need all the things food,water and medical care thank you before"	O O O O O O O O O O O O B-OTH O O O O O B-WAT O B-MED I-MED O O O	request
32	I am injured and my home is destroyed where we are a we are not even receiving water.	O O B-MED O O B-SHL O O O O O O O O O O O B-WAT	request
33	"Help us, we are hungry we live at le lambi"	B-OTH I-OTH O O B-FD O O O O O	request
34	"And so within the next three months, CCF will help farmers scoop out the sand deposited by the tsunami and carry it back out to fortify the beaches."	O O O O O O O O B-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O	request
35	"I need. .  The is no water, no food. There are women who have just delivered babies"	O O O O O O B-WAT I-WAT B-FD I-FD O O O O O O B-MED I-MED	request
36	Peole that are living in La Montay especially in Lespinas need medical aid.	O O O O O O O O O O B-MED I-MED I-MED	request
37	There are some people that I know in central Port-au-Prince on whom blocks fell who haven't been cared for at all.	O O O O O O O O O O O O O O O B-MED I-MED I-MED O O O	request
38	Person is sick and needs to go to hospital	O O B-MED O O O O O B-MED	request
39	"My wife is pregnant, she was hit by a block on Jan 12th, she went to the hospital and they said the baby has been moved.  She's at the hospital called St.  Therese Miragwan, he doesn't have any money to get her"	O B-MED I-MED I-MED O O O O O O O O O O O O O B-MED O O O O O O O O O O O O B-MED O O O O O O O O O B-OTH O O O	request
40	"In many parts of Orissa, drinking water problems persist and a large number of jaundice cases have been reported."	O O O O O B-WAT I-WAT O O O O O O O B-MED I-MED O O O	request
41	"Loaded with nearly 700 tons of fresh water, a Chinese Navy submarine rescue ship named Changxing Island which could produce over 70 tons of desalted water every day arrived in Malé in the evening of December 7 local time and started to supply water to the Maldivian people through its own sea water desalination facilities."	O O O O O O B-WAT I-WAT O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O B-WAT I-WAT O O O O O O O O O O O O O O O O O B-WAT O O O O O O O O B-WAT I-WAT O	request
42	"I live in Gonaives.  I need help for the hospital in Raboto.  We need water, food, and medication because we have a thousand people who need medical attention right now."	O O O O O O B-OTH I-OTH O O B-MED O O O O O B-WAT B-FD O B-MED O O O O O O O B-MED I-MED I-MED O O	request
43	"It is above all medication, protective equipment, infusions and isolation units that are needed."	O O O O B-MED I-MED I-MED I-MED O B-MED I-MED O O O	request
44	Experts warned of earthquake risk on Haiti Scientists have warned for years that the island of Hispaniola whi.  http tinyurl. com yepezak	O O O O O O O O O O O O O O O O O O O O O O O	request
45	"I have a 4 year old child who is sick, can you help me get a tarp please"	O O O O O O O O O B-MED O O O O O O B-SHL O	request
46	"Some of the PHCs require live saving drugs like ORS, Anti snake venom, Anti rabies, Drugs for fever, cough and cold etc.  as reported by DMs."	O O O O O B-MED I-MED I-MED O B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED O O O O O O	request
47	"There are kids who are getting seriously sick because they don't get any food, health care . ."	O O O O O O B-MED I-MED O O O O B-FD I-FD B-MED I-MED O O	request
48	Urgent Breaking News the injuries in this earthquake is very bad they need immediate help please pray for these people over there.	O O O O B-MED O O O O O O O B-OTH I-OTH I-OTH O O O O O O O	request
49	"Their seedbeds and shrimp cultivation fields are underwater so they are not able continue with their usual livelihoods,"" he says."	O B-FD O B-FD O O O B-WAT O O O O O O O O O O O O	request
50	"Good morning, I am living in the 12th.  section of Leogane Haiti, we never receive any help at all, and the biggest problem is, we have a young woman who is about to give birth this month.  We have no place, no houses for her."	O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED O O O O O B-SHL I-SHL I-SHL I-SHL O O	request
51	"We are about 500 to 600 people in the temporary shelter of grand goave.  and every day there are more and more people coming.  We have a lot of issues such as drinking water, food, medicine,"	O O O O O O O O O B-SHL I-SHL O O O O O O O O O O O O O O O O O O O O O O O B-WAT I-WAT B-FD B-MED	request
52	. .  psychologically I am really sick because my older brother died in front of me.  He was the only person working to support the family financially	O O O O O O O B-MED O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH	request
53	Eyewitnesses reported that security forces fired live ammunition at unarmed students and beat women and children.	O O O B-OTH I-OTH O O O O O O O O O O O	request
54	"Brothers and sister that distribute drugs and food, we are in Des cesars street prolongation ally way Felix, we are asking for support becuse we have nothing"	O O O O B-MED I-MED O B-FD O O O O O O O O O O O O O O B-OTH O O O O	request
55	"Please! Please! In the church Saint Antoine ( St Anthony church ) located in Nazon ( Port-au-Prince in downtown ), in Impasse Medilien, ( Street or dead end street ) there are 100 people still trapped under the rubble.  Please come and help us.  Please in Nazon."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH O O O O B-OTH O O O O O	request
56	"We ARE in Port-Margot, in the Northern part of the Country.  It is 2hrs driving from Cap-Haitian, We do not have anything to survive.  We are dying, please help us."	O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O O O O B-OTH I-OTH	request
57	I am trapped in a Car in the Riviere Grise ( Gray River ) in Croix des Missions.  The Bridge is about to be destroyed and we are at risk.  .	O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
58	"Community Aid Abroad-Oxfam Australia's Executive Director, Jeremy Hobbs, said ""We are urgently seeking donations to help thousands of people in Cambodia, Laos and Vietnam who have lost their homes and livelihoods in the floods."	O B-OTH O O O O O O O O O O O B-OTH O O O O O O O O O O O O O O B-SHL O B-OTH O O O	request
59	"Inside a large tent, the only form of shelter available here against the relentless sun and chilly nights of this remote and barren mountain region, a weary refugee complains of discomfort in her swollen abdomen."	O O O B-SHL O O O O B-SHL O O O O O O O O O O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED	request
60	"I need some medical equipment and food in the area of Fontamara, 43 Place.  . .  ?"	O O O B-MED I-MED O B-FD O O O O O O O O O O O O	request
61	"good morning, on cote plage, 24 impasse malreaux, we need everything.  help is not reaching us.  we have more thna 200 people on 3 field ."	O O O O O O O O O B-OTH I-OTH O B-OTH O O O O O O O O O O O O O O O	request
62	I want to get contact with an Organisation (ONG) to let it know that I have a lot of people on my zone who are fall ill.	O O O O O O O O O O O O O O O O O O O O O O O O O B-MED I-MED	request
63	"Tharaka Nithi has failed to report a child with acute flaccid paralysis (AFP), the symptom that indicates the possible presence of polio, since 2013."	O O O O O O O O O B-MED I-MED I-MED O O O O O O O O O B-MED O O	request
64	"In response to this horrific disaster, Direct Relief is providing both material and financial assistance to in-country social service organizations, as well as U. S. -based and international nonprofits, working to provide medical services to tsunami survivors, prevent outbreaks of disease, and rebuild the severely damaged healthcare infrastructure of Aceh Province."	O O O O O O B-OTH I-OTH O O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O B-MED I-MED I-MED O O O B-MED I-MED I-MED I-MED O B-OTH O O O B-MED O O O O	request
65	"Tell me what i must do, if during the earthquake I've got a person that loose his mind and never get his good sence again, I went to saint catrine hospital they give him medicaments however nothing gonna be allright."	O O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED O O O O O O O O O O O O B-MED O O O B-MED O O O O O	request
66	"Please, we need your hlep.  Do not neglect the provincial villages.  We have many people who need care in a hospital.  We are suffering"	O O B-MED I-MED I-MED O O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED O O B-MED I-MED	request
67	RT SAMMIESMILES8 RT pinkelephantpun Earthquake Relief Donate http bit. ly 67t0d0 Select Immediate Needs to help those affected . .	O O O O O B-OTH I-OTH O O O O O O B-OTH I-OTH I-OTH O O O O	request
68	"As flood waters recede, there has been a marked increase in water-borne diseases, especially diarrhoea, pneumonia and skin infections, among flood survivors, many of whom are still awaiting relief."	O O B-WAT O O O O O O O O O B-MED O B-MED I-MED I-MED I-MED I-MED O O O O O O O O O B-OTH	request
69	"I am a 35 year old young haitian who witness the jan 12 earthquake, I am traumatize in a country with no work high cost of living,"	O O O O O O O O O O O O O O O O B-MED O O O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH	request
70	"we need aqua tab, jif or any type of disinfectant.  . .  we're can you find some"	O O B-WAT O O O O O O B-OTH O O O O O O O B-OTH I-OTH	request
71	I live below the opening of the Caribbean market.  I've been wounded.	O O O O O O O O O O O O B-MED	request
72	"I live brace leandre in area of leogane we don't have water treat for drinking when we are drinking water it's giving diarrhe,stomachache help us please"	O O O O O O O O O B-WAT I-WAT I-WAT I-WAT O B-WAT O O O B-WAT I-WAT O O B-MED B-OTH I-OTH O	request
73	"We need drinking water, food, medecin for flu, infection and fever.  We are in Fontamara 43 rue Menos prolongation"	O B-WAT I-WAT I-WAT B-FD B-MED I-MED I-MED I-MED I-MED I-MED O O O O O O O O O	request
74	"We who are living in Leogane Kolas zone, route Lamitye since the earthquake the foreigners who have been giving out aid have never passed through here.  We are asking for them to pass by with aid."	O O O O O O O O O O O O O O O O O O O O B-OTH O O O O O O O O O O O O O O O B-OTH	request
75	"S.  O.  S.  Come to our rescue regarding water, food and medical attention and perticularly tents for us to sleep well with the small children"	O O O O O O O O O O O B-WAT B-FD O B-MED I-MED O O B-SHL O O O O O O O O O	request
76	"Please I was hurt in the quake.  I can't get my card, please give me a call."	O O O B-MED O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH	request
77	wHERE I COULD FIND DISINFECTING TO ASPEGER THE ZONE AGAINTS MOSQUITOES AND BAD SMEL.	O O O O B-MED O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH	request
78	Is it possible to know how many people died during the quake?	O O O O O O O O O O O O	request
79	"We need electricity 24 hours a day, more technology and school for the people, together we can change HAITI!."	O B-OTH I-OTH O O O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O	request
80	"Medicine and tent needed.  We are counting on your assistance, because people are asking us to find this stuff for them.  a hot plate of food per day.  Thank you"	B-MED O B-SHL O O O O O O O B-OTH O O O O O O O O O O O O O B-FD I-FD I-FD I-FD O O O O O	request
81	"in jacmel we have nothing that has reached us, people are starting to get sick.  we are asking for help"	O O O B-OTH I-OTH O O O O O O O O O B-MED O O O O O B-OTH	request
82	Very sick and starving.  I have nothing.  I'm in Port au Prince.	O B-MED O B-FD O O B-OTH I-OTH O O O O O O	request
83	"For your information, There are people that are found in the rubbles of the School of Trinite, ( L'Ecole Sainte Trinite ) in Jacmel.  Cookies brought to them by Colombian dogs are keeping them alive."	O O B-OTH O O O O O O O O O O O O O O O O O O O O O O B-FD O O O O O O O O O O	request
84	"Hello.  I am a Haitian living in the 12eme (12th) Section of Leogane, such as it is.  I have a young woman who is in labor having a baby.  I have no house"	O O O O O O O O O O O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED O O O O O O O B-SHL	request
85	WHO is supporting entomological surveys along with spraying campaigns targeting mosquito breeding sites in Darfur.	O O B-OTH O O O O O B-OTH O O O O O O	request
86	"We need to get more information about help,assistance HAITI received and about other things we'll procure,please?"	O O O O O B-OTH O B-OTH O O O O O O O O	request
87	"we haven't received anything in terms of aid.  for example we nee food, medicine, doctors, and tents to sleep in.  to be okay in ?SID."	O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O O O O B-FD B-MED I-MED O B-SHL O O O O O O O O O	request
88	"Hello.  We have nothing to eat.  We have children with us.  We need diapers, water, milk, medicine, shelter"	O O O O B-FD I-FD I-FD O O O O O O O O B-OTH I-OTH B-WAT B-FD B-MED B-SHL	request
89	"MY MOTHER IS 76 SHE IS DIABETIC,SHE NEED HELP AND MEDICATIONS"	O O O O O O O B-MED I-MED O B-MED	request
90	Dear Friend the population of Delmas 4 are hungry and almost die please make someting to them or tell them how to find a card to have acces with food in OJPD	O O O O O O O O B-FD O O O B-OTH I-OTH I-OTH O O O O O O O O O O O O O O B-FD O O	request
91	"We cannot live outdoors in the rain, or build our homes.  The quake caused the 760-megawatt hydropower generating unit at Zipingpu, 9 kilometres upstream of Dujiangyan, to collapse, the provincial government said.  Farmers also have to be helped with refrigeration systems to transport their goods to markets.  ""We spent nearly half an hour there [before] I requested that all passengers disembark while I find a way to pass,"" he said"	O O B-SHL I-SHL I-SHL I-SHL I-SHL O B-SHL I-SHL I-SHL O O O O O O B-OTH O O O O O O O O O O O O O O O O O O O O O B-OTH O B-OTH I-OTH O B-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O O O O O	request
92	we are in need of food.  water medicine we are in delma 33 route ALYANS 4 AND 5 zone Jerale batay.  we are a family of 750 survivors we ar angry bad.  help us please	O O O O O B-FD O B-WAT B-MED O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O O	request
93	"People from Delmas 32 are asking if they will let them die with dead people odors, hunger, thirst and sunburn.  . .  They heard shelter and medicine were given but they never got any"	O O O O O O O O O O O O O O O O B-FD B-WAT O B-OTH O O O O O O B-SHL O B-MED O O O O B-OTH I-OTH I-OTH	request
94	NOTES: We need water and health care at rue Cadet Jeremie in Carrefour-Feuilles.  Thank you.	O O B-WAT I-WAT O B-MED I-MED O O O O O O O O O	request
95	"Ailments such as depressive symptoms, panic disorders and suspected influenza cases were found among some of the patients, however, the most pressing issue is the fulfillment of medicines for those with chronic diseases."	O O O B-MED I-MED I-MED I-MED O O B-MED I-MED O O O O O O B-MED O O O O O O O O O B-MED O O O B-MED I-MED	request
96	"Location - Family Christian Academy (school yard).  Need food, water, medical, shelter.  Not sure of exact location but there is a Christian Academy near Port-Au-Prince."	O O O O O O O O B-FD I-FD B-WAT B-MED B-SHL O O O O O O O O O O O O O O	request
97	Try to make available a group of psychologists throughout the 10 Departments of the country so that they can help the survivors who have pathologies.	O O O O O O O B-MED O O O O O O O O O O O B-MED O O O O B-MED	request
98	"Hi, we live in Carrefour Feuilles.  We need aid, tent, food"	O O O O O O O O B-OTH I-OTH B-SHL B-FD	request
99	Included in the shipment was PNEUMOVAX=AE23 a vaccine used to prevent drug-resistant pneumonia and some other pneumococcal illnesses affecting vulnerable populations in Tajikistan such as children and medical workers.	O O O B-OTH O O O B-MED O O O B-MED I-MED O O O B-MED I-MED O O O O O O O O O B-MED I-MED	request
100	"We are dying, I feel my two feet are broken"	O O O O O O O B-MED I-MED I-MED	request
101	"Statements by Medecins Sans Frontieres (MSF) speak of thousands of people in need of postoperative, physical and mental health care."	O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED	request
102	"Can Help to distribute supplies , water , etc to people .  Help with clean up"	O B-OTH I-OTH I-OTH I-OTH O B-WAT O O O O O O B-OTH I-OTH I-OTH I-OTH	request
103	"When a mother feels dizzy and has head injuries after the earthquake, can she still breastfeed her baby?"	O O O B-MED I-MED O O B-MED I-MED O O O O O O O O O	request
104	"Some 33 people have died over the last two weeks and at least 30,000 families along the principal rivers have been affected, with adverse weather conditions expected to continue until mid-December."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
105	"There has been widespread damage and destruction of buildings, in Kathmandu Valley hospitals are overcrowded and running out of room for storing dead bodies and also running short of emergency supplies. There is a need to replenish medical stocks to support health response efforts."	O O O O B-SHL I-SHL I-SHL I-SHL I-SHL O O O B-MED O B-SHL I-SHL I-SHL I-SHL I-SHL I-SHL O O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O B-MED I-MED I-MED O B-MED I-MED I-MED I-MED	request
106	yes we understand all the things the health ministry i saying but how are we supposed to find these things in the first place we are not working and we have no help.  tell them what they can do to help	O O O O O O O B-MED I-MED O O O O O O O O O O O O O O O O O B-OTH I-OTH O O O B-OTH I-OTH O O O O O O B-OTH I-OTH I-OTH	request
107	"Used to the cooler dry climate of mountainous Afghanistan, both children and adults also suffer from heat rash which can be eased by frequent washing with cool water."	O O O O O O O O O O O O O O B-MED I-MED I-MED I-MED O O O O O O B-WAT I-WAT I-WAT I-WAT	request
108	"The outbreak of the highly contagious disease in Juba ahead of tomorrow's donor pledging conference in Oslo, organised by Norway and the United Nations, demonstrates how urgently funds are needed to respond to the increasingly dire humanitarian crisis unfolding in the world's newest nation."	O B-MED O O O B-MED I-MED O O O O O B-OTH O O O O O O O O O O O O O O B-OTH O O O O O O O O O O O O O O O O	request
109	"Assistance in the form of food and agricultural input (seeds and tools) and the provision of shelter are the immediate priorities, as well as interventions to combat malaria and water borne diseases."	B-FD I-FD I-FD I-FD I-FD I-FD O B-FD I-FD I-FD O O O O O O B-SHL O O O O O O O O O B-MED I-MED O B-WAT O B-MED	request
110	"( No location ) We have no water and food, we have no tent, and the children are starting to be sick."	O O O O O O B-WAT I-WAT O B-FD O O B-SHL I-SHL O O B-MED I-MED I-MED I-MED I-MED I-MED	request
111	"Please, do someting for me because I have a younger sister who's traumatized and my house is almost down Thanks beforehand."	O O O O O O O O O O O O B-MED O O B-SHL O O O O O	request
112	"The risk of outbreaks of waterborne diseases remains high, since camps are surrounded by stagnant polluted water, and sanitation conditions are bad."	O O O B-MED O B-WAT B-MED O O O B-SHL O O O B-WAT I-WAT I-WAT O B-OTH I-OTH O O	request
113	i am a victime in the area of neret.  the 12 of january i lost my hous and my child is badly hurt.  we are about 1233 in the the housing center in nerret near the colleg antillais	O O O O O O O O O O O O O O O O O B-SHL O O O O O B-MED O O O O O O O O B-SHL I-SHL O O O O O O	request
114	He said the country has planned to immunize under-five children following polio outbreak in neighboring countries.	O O O O O O O B-MED O O O B-MED I-MED O O O	request
115	"This emergency fund is to be distributed to victims and to support rescue, relocation and recovery operations."	O B-OTH I-OTH O O O B-OTH O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH	request
116	"Ebola is introduced into the human population through close contact with the blood, secretions, organs or other bodily fluids of infected animals."	B-MED O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED O	request
117	"We received many wounded people, we have no staff and no supplies, we need specialist at Immacule Conception Hospital.  Thank you"	O O O B-MED O O O B-OTH I-OTH I-OTH I-OTH I-OTH O B-MED I-MED O O O B-MED O O O	request
118	"Hello, I am in Fort Jacques, a wall fell on my legs, I need HELP"	O O O O O O O B-MED I-MED I-MED I-MED I-MED O O B-MED	request
119	This is a message to ask where I can go to a hospital	O O O O O O O O O O O O B-MED	request
120	"In the aftermath of the disaster, the siblings received some relief supplies such as food and hygiene kits, as well as a tarpaulin sheet through the Red Cross."	O O O O O O O O O O B-OTH I-OTH O O B-FD O B-OTH I-OTH O O O O B-SHL I-SHL O O O O	request
121	"my friend i have heard nothing again.  i have a lot of problems.  what u give i'll take I am in Jeremi, i want u to help me"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O	request
122	We need help.  And we are located near the Ophtamology hospital of Milot	O B-OTH I-OTH O O O O O O O B-MED I-MED O O	request
123	To be able to continue planting we need health care because malaria and typhoid are spreading out.  Message from the Peasants Group of Fondikak ( GPPF ).	O O O O O O O O B-MED I-MED O B-MED I-MED I-MED O O O O B-OTH O O O O O O O O O	request
124	Sandy who?It's Friday people!!!!! So looking forward to this weekend.  The hurricane #sandy better not ruin for me	O O O O O O O O O O O O O O O O O O O	request
125	"To effectively manage the community banks that are used to fund the small business projects, ADRA India formed 60 self-help groups for village women and 15 groups for local farmers, also helping them to open bank accounts in the nationalized Bank of India."	O O O O O O O O O O B-OTH O O O O O O O O B-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O	request
126	HELP FOR THE CENTER OF FLORE around 400 demunis in DAMIEN to unibank in the yard of Pam pak	B-OTH O O O O O O O O O O O O O O O O O O	request
127	"near about 50 houses of basti jam gulab pahore and basti ghulam haidar pahore have been destroyed in the recent flood but no compensation has been provided till date.  we have just received one quilt from chief minister of punjab, winter is making children sick."	O O O B-SHL O O O O O O O O O O O O O O O O O O B-OTH I-OTH O O O O O O O O O O O B-OTH O O O O O O O O O B-MED	request
128	"They may not bring huge resources to bear but they establish a presence, with at least a canvas awning beside a road, with a banner appealing for donations and a table covered with bottles and jars of basic medicine."	O O O O O B-OTH O O O O O O O O O O O B-SHL I-SHL O O O O O O O O B-OTH O O O O O B-MED I-MED I-MED I-MED I-MED I-MED	request
129	"We are asking the concerned authorities to come visit us in Source Corosol, a community in Carrefour, zone Wagney 93.  Since the earthquake, we haven't received any aid."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH	request
130	. .  .  can no longer stand it	O O O O O O O O O O	request
131	I am listening to Radio Dabon.  We need help and doctors in that area.  We are unable to move around because we have no gas.  Dabon is located close to Leogane	O O O O B-OTH O O O B-OTH I-OTH O B-MED O O O O O O O O O O O O O B-OTH I-OTH O O O O O O O	request
132	Please.  Send humanitarian aid so we can survive.  We are in Delmas 40B village Musso on the golf course.  Thank you	O O O B-OTH I-OTH O O O O O O O O O O O O O O O O O O O	request
133	"we need help.  kids need assistance at fontamara 37.  kids sick diarrea, flue, thanks NOTE: could not locate fontamara 37 on the map."	O O B-OTH O O O B-OTH O O O O O B-MED I-MED I-MED O O O O O O O O O O	request
134	"ok tout le monde qui victime.  paix pager gens y ont autority, y ont organisation.  ."	O O O O O O O O O O O O O O O B-OTH O O	request
135	"4636: ONG says that if you have a mosquito, use it while you vomit.  It's so important, it can help you to diminish risk to catch malaria."	O O O O O O O O O O O O O B-MED O O O O O O O O O O O O O B-MED	request
136	Disease assessment needed in Dadu	B-MED I-MED O O O	request
